FID,idpuntocalor,fecha,latlon,id_pais,id_estado,id_mun,nom_pais,nom_estado,nom_mun,vegetacion,anp,pendiente,satelite,geom,hora_gmt
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fce,5122797,2019-08-18T04:06:00,POINT(-97.81413 22.26591),1,1-28,1-28009,México,Tamaulipas,Ciudad Madero,ZONA URBANA,NO AFECTA ANP,2.56684327,TERRA,POINT (-97.81413 22.26591),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fcf,5122790,2019-08-18T04:06:00,POINT(-92.18522 18.64035),1,1-4,1-04003,México,Campeche,Carmen,PASTIZAL CULTIVADO,ANP LAGUNA DE TÉRMINOS,1.1668911,TERRA,POINT (-92.18522 18.64035),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd0,5122789,2019-08-18T04:06:00,POINT(-92.17139 18.64268),1,1-4,1-04003,México,Campeche,Carmen,PASTIZAL CULTIVADO,ANP LAGUNA DE TÉRMINOS,2.25614262,TERRA,POINT (-92.17139 18.64268),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd1,5122788,2019-08-18T04:06:00,POINT(-92.72845 18.14366),1,1-27,1-27004,México,Tabasco,Centro,TULAR,NO AFECTA ANP,2.95757627,TERRA,POINT (-92.72845 18.14366),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd2,5122787,2019-08-18T04:06:00,POINT(-92.73768 18.14245),1,1-27,1-27004,México,Tabasco,Centro,TULAR,NO AFECTA ANP,0.69309163,TERRA,POINT (-92.73768 18.14245),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd3,5122786,2019-08-18T04:06:00,POINT(-92.72231 18.14502),1,1-27,1-27004,México,Tabasco,Centro,TULAR,CERCA DE ANP PANTANOS DE CENTLA,1.20031118,TERRA,POINT (-92.72231 18.14502),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd4,5122785,2019-08-18T04:06:00,POINT(-93.18215 17.90316),1,1-7,1-07074,México,Chiapas,Reforma,PASTIZAL CULTIVADO,NO AFECTA ANP,1.51168859,TERRA,POINT (-93.18215 17.90316),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd5,5122784,2019-08-18T04:06:00,POINT(-93.1965 17.88858),1,1-7,1-07074,México,Chiapas,Reforma,PASTIZAL CULTIVADO,NO AFECTA ANP,2.86818957,TERRA,POINT (-93.1965 17.88858),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd6,5122783,2019-08-18T04:06:00,POINT(-93.17989 17.8915),1,1-7,1-07074,México,Chiapas,Reforma,PASTIZAL CULTIVADO,NO AFECTA ANP,4.39519501,TERRA,POINT (-93.17989 17.8915),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd7,5122782,2019-08-18T04:06:00,POINT(-93.19118 17.89362),1,1-7,1-07074,México,Chiapas,Reforma,DESPROVISTO DE VEGETACION,NO AFECTA ANP,3.82926202,TERRA,POINT (-93.19118 17.89362),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd8,5122781,2019-08-18T04:06:00,POINT(-93.17453 17.89642),1,1-7,1-07074,México,Chiapas,Reforma,PASTIZAL CULTIVADO,NO AFECTA ANP,4.05276108,TERRA,POINT (-93.17453 17.89642),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fd9,5122780,2019-08-18T04:06:00,POINT(-93.12988 17.84389),1,1-7,1-07074,México,Chiapas,Reforma,PASTIZAL CULTIVADO,NO AFECTA ANP,2.02262115,TERRA,POINT (-93.12988 17.84389),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fda,5122779,2019-08-18T04:06:00,POINT(-93.11336 17.84675),1,1-27,1-27004,México,Tabasco,Centro,AGRICULTURA DE TEMPORAL,NO AFECTA ANP,4.14167404,TERRA,POINT (-93.11336 17.84675),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fdb,5122778,2019-08-18T04:06:00,POINT(-92.50076 17.89359),1,1-27,1-27012,México,Tabasco,Macuspana,PASTIZAL CULTIVADO,NO AFECTA ANP,5.03954124,TERRA,POINT (-92.50076 17.89359),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fdc,5122777,2019-08-18T04:06:00,POINT(-92.48586 17.89607),1,1-27,1-27012,México,Tabasco,Macuspana,TULAR,NO AFECTA ANP,1.96948326,TERRA,POINT (-92.48586 17.89607),04:06:00
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fdd,5123168,2019-08-18T07:29:20,POINT(-102.20245 17.93172),1,1-16,1-16052,México,Michoacán de Ocampo,Lázaro Cárdenas,ZONA URBANA,NO AFECTA ANP,2.1443367,J01-375m,POINT (-102.20245 17.93172),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fde,5123164,2019-08-18T07:29:20,POINT(-93.15604 17.72123),1,1-7,1-07048,México,Chiapas,Juárez,PASTIZAL CULTIVADO,NO AFECTA ANP,3.75031471,J01-375m,POINT (-93.15604 17.72123),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fdf,5123163,2019-08-18T07:29:20,POINT(-94.51691 17.97073),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,6.19163656,J01-375m,POINT (-94.51691 17.97073),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe0,5123162,2019-08-18T07:29:20,POINT(-94.52206 17.97142),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,3.92453814,J01-375m,POINT (-94.52206 17.97142),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe1,5123161,2019-08-18T07:29:20,POINT(-94.52666 17.97602),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,1.69601238,J01-375m,POINT (-94.52666 17.97602),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe2,5123160,2019-08-18T07:29:20,POINT(-94.28661 17.94764),1,1-30,1-30111,México,Veracruz de Ignacio de la Llave,Moloacán,PASTIZAL CULTIVADO,NO AFECTA ANP,11.03860569,J01-375m,POINT (-94.28661 17.94764),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe3,5123159,2019-08-18T07:29:20,POINT(-94.53063 17.98451),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,5.70743656,J01-375m,POINT (-94.53063 17.98451),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe4,5123158,2019-08-18T07:29:20,POINT(-94.52435 17.99163),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,5.10129452,J01-375m,POINT (-94.52435 17.99163),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe5,5123157,2019-08-18T07:29:20,POINT(-94.52772 17.99242),1,1-30,1-30108,México,Veracruz de Ignacio de la Llave,Minatitlán,ZONA URBANA,NO AFECTA ANP,7.11213541,J01-375m,POINT (-94.52772 17.99242),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe6,5123156,2019-08-18T07:29:20,POINT(-93.75942 17.92267),1,1-27,1-27008,México,Tabasco,Huimanguillo,PASTIZAL CULTIVADO,NO AFECTA ANP,5.27536106,J01-375m,POINT (-93.75942 17.92267),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe7,5123155,2019-08-18T07:29:20,POINT(-93.12186 17.83939),1,1-27,1-27004,México,Tabasco,Centro,AGRICULTURA DE TEMPORAL,NO AFECTA ANP,3.7553544,J01-375m,POINT (-93.12186 17.83939),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe8,5123154,2019-08-18T07:29:20,POINT(-93.12132 17.84299),1,1-27,1-27004,México,Tabasco,Centro,DESPROVISTO DE VEGETACION,NO AFECTA ANP,3.76225138,J01-375m,POINT (-93.12132 17.84299),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fe9,5123153,2019-08-18T07:29:20,POINT(-93.11642 17.846),1,1-27,1-27004,México,Tabasco,Centro,AGRICULTURA DE TEMPORAL,NO AFECTA ANP,4.14550781,J01-375m,POINT (-93.11642 17.846),07:29:20
puntos_calor_satelite.fid--49e299b1_16ca7a218b0_1fea,5123152,2019-08-18T07:29:20,POINT(-93.12077 17.8466),1,1-27,1-27004,México,Tabasco,Centro,AGRICULTURA DE TEMPORAL,NO AFECTA ANP,2.21266961,J01-375m,POINT (-93.12077 17.8466),07:29:20
